C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2017/11/03,10:48:27,0000000288829320,,0000000288829319
D,CO2EII,PUBLISHING,1,"KAREEYA POWER STATION",KAREEYA3,KAREEYA3,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"KAREEYA POWER STATION",KAREEYA4,KAREEYA4,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"KAREEYA POWER STATION",KAREEYA5,KAREEYA5,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Kogan Creek Power Station",KPP_1,KPP_1,QLD1,0.905830,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"MACKAY GAS TURBINE",MACKAYGT,MACKAYGT,QLD1,1.056280,"Diesel oil","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Moranbah North Waste Coal Mine Gas Power Station",MBAHNTH,MBAHNTH,QLD1,0.6960,"Coal mine waste gas","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Moranbah Generation Project",MORANBAH,MORANBAH,QLD1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Millmerran Power Plant",MPP_1,MPP_1,QLD1,0.892090,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Millmerran Power Plant",MPP_2,MPP_2,QLD1,0.892090,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Mt Stuart Power Station",MSTUART1,MSTUART1,QLD1,1.008620,"Kerosene - non aviation","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Mt Stuart Power Station",MSTUART2,MSTUART2,QLD1,1.008620,"Kerosene - non aviation","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Mt Stuart Power Station",MSTUART3,MSTUART3,QLD1,1.008620,"Kerosene - non aviation","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"OAKEY POWER STATION",OAKEY1,OAKEY1,QLD1,0.853730,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"OAKEY POWER STATION",OAKEY2,OAKEY2,QLD1,0.853730,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Oaky Creek 2",OAKY2,OAKY2_1,QLD1,0.6960,"Coal mine waste gas","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Oaky Creek Power Station",OAKYCREK,OCPS,QLD1,0.6560,"Natural Gas (Pipeline)","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"WIVENHOE POWER STATION",PUMP1,PUMP1,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"WIVENHOE POWER STATION",PUMP2,PUMP2,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"Rochedale Renewable Energy Facility",ROCHEDAL,ROCHEDAL,QLD1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Roma Gas Turbine Station",ROMA_7,ROMA_7,QLD1,0.764080,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Roma Gas Turbine Station",ROMA_8,ROMA_8,QLD1,0.764080,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Rocky Point Cogeneration Plant",RPCG,RPCG,QLD1,0.0180,"Biomass and industrial materials","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"STANWELL POWER STATION",STAN-1,STAN-1,QLD1,0.950680,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"STANWELL POWER STATION",STAN-2,STAN-2,QLD1,0.950680,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"STANWELL POWER STATION",STAN-3,STAN-3,QLD1,0.950680,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"STANWELL POWER STATION",STAN-4,STAN-4,QLD1,0.950680,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"STANWELL POWER STATION",STANNL1,STANNL1,QLD1,1.1780,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Stapylton Renewable Energy Facility",STAPYLTON1,STAPYLTON1,QLD1,0.0610,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Southbank Institute Of Technology Unit 1 Plant",STHBKTEC,STHBKTEC,QLD1,0.7450,"Diesel oil","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Swanbank B Power Station & Swanbank E Gas Turbine",SWAN_E,SWAN_E,QLD1,0.440790,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"TARONG POWER STATION",TARNL1,TARNL1,QLD1,1.1780,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"TARONG POWER STATION",TARONG#1,TARONG#1,QLD1,0.941170,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"TARONG POWER STATION",TARONG#2,TARONG#2,QLD1,0.941170,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"TARONG POWER STATION",TARONG#3,TARONG#3,QLD1,0.941170,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"TARONG POWER STATION",TARONG#4,TARONG#4,QLD1,0.941170,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Veolia Ti Tree Bio Reactor",TITREE,TITREE,QLD1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Tarong North Power Station",TNPS1,TNPS1,QLD1,0.894380,"Black coal","NTNDP 2016"
