DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
POR03,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885.0,Diesel oil,Fossil,1.5615299999999999,SCHEDULED,23.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,2300.0,2300.0,2300.0,10.4,13.84615385,0.3,8.405479859,126.78356731079032
POR01,PORTLCN,Port Lincoln Gas Turbine,SA1,NSA,885.0,Diesel oil,Fossil,1.5615299999999999,SCHEDULED,50.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,13.84615385,0.3,8.405479859,126.78356731079032
PPCCGT,NPPPPS,Pelican Point Power Station,SA1,ADE,797.0,Natural Gas (Pipeline),Fossil,0.48318,SCHEDULED,478.0,0.0,600.0,600.0,600.0,600.0,4.0,4.0,11950.0,2390.0,7170.0,7.0,7.5,0.3,7.223998176,61.179986320000005
CPSA,CPSA,Condamine Power Station A,QLD1,SWQ,819.0,Natural Gas (Pipeline),Fossil,0.5264,SCHEDULED,144.0,0.0,170.0,170.0,180.0,180.0,4.0,4.0,3600.0,720.0,2160.0,7.0,7.5,0.3,5.745362791,50.090220932499996
PTSTAN1,STANVAC,Pt Stanvac Power Station,SA1,ADE,11.0,Diesel oil,Fossil,0.657,SCHEDULED,58.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,5800.0,5800.0,5800.0,10.88332,13.84615385,0.3,8.405479859,127.26688731079031
HDWF2,HORNSDAL2,Hornsdale Wind Farm 2,SA1,NSA,107.0,Wind,Wind,0.0,SEMI-SCHEDULED,102.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,510.0,204.0,306.0,0.0,3.6,0.0,0.0,0.0
HDWF1,HORNSDAL,Hornsdale Wind Farm,SA1,NSA,107.0,Wind,Wind,0.0,SEMI-SCHEDULED,102.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,510.0,204.0,306.0,0.0,3.6,0.0,0.0,0.0
HALLWF2,HALLWF2,Hallett 2 Wind Farm,SA1,NSA,405.0,Wind,Wind,0.0,SEMI-SCHEDULED,71.0,0.0,120.0,120.0,120.0,120.0,1.0,1.0,355.0,142.0,213.0,0.0,3.6,0.0,0.0,0.0
GUTHEGA,SNOWY3,Guthega Power Station,NSW1,CAN,206.0,Hydro,Hydro,0.0,SCHEDULED,60.0,21.0,580.0,600.0,590.0,600.0,1.0,1.0,300.0,120.0,180.0,7.0,0.0,0.0,0.0,7.0
POAT220,PTINA220,Poatina Power Station,TAS1,TAS,706.0,Hydro,Hydro,0.0,SCHEDULED,200.0,0.0,1210.0,1220.0,2250.0,2260.0,1.0,1.0,1000.0,400.0,600.0,7.0,0.0,0.0,0.0,7.0
POAT110,PTINA110,Poatina Power Station,TAS1,TAS,706.0,Hydro,Hydro,0.0,SCHEDULED,100.0,0.0,1210.0,1220.0,2250.0,2260.0,1.0,1.0,500.0,200.0,300.0,7.0,0.0,0.0,0.0,7.0
